Mode,NormedSpeed
None,-17.0
None,-17.0
None,-17.0
None,-17.0
None,-5.0
None,-5.0
None,-5.0
None,-5.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-20.0
None,-20.0
None,-20.0
None,-20.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-2.0
None,-2.0
None,-2.0
None,-2.0
None,-17.0
None,-17.0
None,-17.0
None,-17.0
None,-12.0
None,-12.0
None,-12.0
None,-12.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-0.0
None,-12.0
None,-12.0
None,-12.0
None,-12.0
None,-5.0
None,-5.0
None,-5.0
None,-5.0
None,-5.0
None,-5.0
None,-5.0
None,-5.0
E,-13.0
E,-6.0
E,-1.0
E,-1.0
E,-13.0
E,0.0
E,-8.0
E,-11.0
E,0.0
E,-6.0
E,-1.0
E,-1.0
E,-8.0
E,-11.0
E,-8.0
T,-1.0
T,-1.0
T,-6.0
T,9.0
T,-6.0
T,2.0
T,-8.0
T,-6.0
T,4.0
T,4.0
T,4.0
T,-1.0
T,-1.0
T,-6.0
T,4.0
E,-4.0
E,-9.0
E,-1.0
E,-4.0
E,-14.0
E,-2.0
E,-10.0
E,-9.0
E,0.0
E,-1.0
E,5.0
E,-4.0
E,-9.0
E,-9.0
E,-4.0
T,-2.0
T,-4.0
T,-5.0
T,1.0
T,-4.0
T,1.0
T,-9.0
T,-14.0
T,3.0
T,-4.0
T,-2.0
T,1.0
T,-3.0
T,-7.0
T,-6.0
E,0.0
E,-12.0
E,0.0
E,3.0
E,-19.0
E,-10.0
E,-9.0
E,-12.0
E,1.0
E,-7.0
E,-5.0
E,-2.0
E,-10.0
E,-6.0
E,-6.0
T,1.0
T,-2.0
T,3.0
T,8.0
T,-2.0
T,-4.0
T,-9.0
T,-12.0
T,-7.0
T,2.0
T,-2.0
T,-7.0
T,-2.0
T,2.0
T,-2.0
E,-8.0
E,-15.0
E,-5.0
E,0.0
E,-20.0
E,-10.0
E,0.0
E,-23.0
E,0.0
E,-13.0
E,-5.0
E,-5.0
E,-13.0
E,-7.0
E,-10.0
T,0.0
T,-5.0
T,0.0
T,10.0
T,-5.0
T,-7.0
T,-7.0
T,-15.0
T,-5.0
T,0.0
T,-8.0
T,-10.0
T,-5.0
T,-8.0
T,-1.0
