MeasuredSpeed,Mode,SpeedLimit
17.0,None,0
5.0,None,0
0.0,None,0
20.0,None,0
0.0,None,0
0.0,None,0
0.0,None,0
2.0,None,0
17.0,None,0
12.0,None,0
0.0,None,0
0.0,None,0
12.0,None,0
5.0,None,0
5.0,None,0
3.0,E,16
10.0,E,16
15.0,E,16
15.0,E,16
3.0,E,16
16.0,E,16
8.0,E,16
5.0,E,16
16.0,E,16
10.0,E,16
15.0,E,16
15.0,E,16
8.0,E,16
5.0,E,16
8.0,E,16
15.0,T,16
15.0,T,16
10.0,T,16
25.0,T,16
10.0,T,16
18.0,T,16
8.0,T,16
10.0,T,16
20.0,T,16
20.0,T,16
20.0,T,16
15.0,T,16
15.0,T,16
10.0,T,16
20.0,T,16
15.0,E,19
10.0,E,19
18.0,E,19
15.0,E,19
5.0,E,19
17.0,E,19
9.0,E,19
10.0,E,19
19.0,E,19
18.0,E,19
24.0,E,19
15.0,E,19
10.0,E,19
10.0,E,19
15.0,E,19
17.0,T,19
15.0,T,19
14.0,T,19
20.0,T,19
15.0,T,19
20.0,T,19
10.0,T,19
5.0,T,19
22.0,T,19
15.0,T,19
17.0,T,19
20.0,T,19
16.0,T,19
12.0,T,19
13.0,T,19
22.0,E,22
10.0,E,22
22.0,E,22
25.0,E,22
3.0,E,22
12.0,E,22
13.0,E,22
10.0,E,22
23.0,E,22
15.0,E,22
17.0,E,22
20.0,E,22
12.0,E,22
16.0,E,22
16.0,E,22
23.0,T,22
20.0,T,22
25.0,T,22
30.0,T,22
20.0,T,22
18.0,T,22
13.0,T,22
10.0,T,22
15.0,T,22
24.0,T,22
20.0,T,22
15.0,T,22
20.0,T,22
24.0,T,22
20.0,T,22
17.0,E,25
10.0,E,25
20.0,E,25
25.0,E,25
5.0,E,25
15.0,E,25
25.0,E,25
2.0,E,25
25.0,E,25
12.0,E,25
20.0,E,25
20.0,E,25
12.0,E,25
18.0,E,25
15.0,E,25
25.0,T,25
20.0,T,25
25.0,T,25
35.0,T,25
20.0,T,25
18.0,T,25
18.0,T,25
10.0,T,25
20.0,T,25
25.0,T,25
17.0,T,25
15.0,T,25
20.0,T,25
17.0,T,25
24.0,T,25
